TipLabel,Habitat
Bitia_hydroides_LSUHC_10516,2
Bothrops_moojeni_SRS2115278,0
Bothrops_pauloensis_SRS2115295,0
Brachyorrhos_albus_FMNH134323,0
Cantoria_violacea_CAS_222792,2
Cerberus_australis_MAGNT_R29853,2
Cerberus_dunsoni_USNM_507562,2
Cerberus_microlepis_USNM_579918,1
Cerberus_rynchops_CAS_229753,2
Cerberus_schneiderii_KU_326648,2
Chironius_exoletus_SRS2115290,0
Enhydris_chanardi_YPM_15033,1
Enhydris_enhydris_LSUHC_3813,1
Enhydris_innominata_ROM_37893,2
Enhydris_longicauda_FMNH_259259,1
Enhydris_subtaeniata_FMNH_259245,1
Erpeton_tentaculatum_FMNH_259080,1
Fordonia_leucobalia_CAS_211970,2
Gerarda_prevostiana_CAS_204972,2
Gyiophis_salweenensis_LSUHC_12960,NA
Homalopsis_buccata_LSUHC_10349,NA
Homalopsis_mereljcoxi_FMNH_259088,NA
Homalopsis_nigroventralis_NCSM_76560,1
Homalopsis_semizonata_CAS_242725,NA
Hypsiscopus_matannensis_MVZ_239628,1
Hypsiscopus_plumbea_KU_328517,2
Micrurus_brasiliensis_SRS2115293,0
Myanophis_thanlyinensis,2
Myron_richardsonii_SAMA_55494,2
Myrrophis_bennettii_LSUHC_4255,2
Myrrophis_chinensis_MVZ_224184,1
Philodryas_olfersii_SRS2115301,0
Phytolopsis_punctata_FMNH_250112,NA
Pseudoferania_polylepis_BPBM_43422,1
Raclitia_indica_LSUHC_11748,1
Subsessor_bocourti_FMNH_257251,2
